year,month,date,company,track,volume_desc,volume,round
2014,Aug,Aug 2014,satonline,Language Learning,0,0,Undiscloused
2018,May,May 2018,圈外同学,Vocational Edu.,0,0,Seed/Angel
2015,Jul,Jul 2015,我的班,K12,0,0,Seed/Angel
2018,Jun,Jun 2018,导学号,K12,0,0,C
2018,Mar,Mar 2018,多知网,Others,0,0,B
2015,May,May 2015,全球说,Language Learning,0,0,A
2018,Jun,Jun 2018,派学车,Vocational Edu.,0,0,Strategic Investment
2015,Jun,Jun 2015,悦宝园,Early Childhood Edu.,0,0,A
2015,Jul,Jul 2015,记忆便签,K12,0,0,Seed/Angel
2018,May,May 2018,导学教育,Edu. Informationization,0,0,C
2018,Jan,Jan 2018,叮当配,Vocational Edu.,0,0,Seed/Angel
2016,Nov,Nov 2016,兜兜亲子,Early Childhood Edu.,0,0,Seed/Angel
2017,Jul,Jul 2017,坚小持微课,Language Learning,0,0,Seed/Angel
2014,May,May 2014,云岭奇光,Early Childhood Edu.,0,0,Seed/Angel
2016,Nov,Nov 2016,四个爸爸,Holistic Edu.,0,0,Seed/Angel
2018,Jan,Jan 2018,沃邦国际教育,Language Learning,0,0,Strategic Investment
2016,Jul,Jul 2016,弘成教育,Higher Edu.,0,0,Pre-IPO
2018,Apr,Apr 2018,科学家在线,Paid Knowledge,0,0,A
2018,Mar,Mar 2018,职优你,Vocational Edu.,0,0,C
2016,Nov,Nov 2016,TMT商学院,Vocational Edu.,0,0,Seed/Angel
2018,May,May 2018,教渠邦,Others,0,0,Seed/Angel
2016,Nov,Nov 2016,可爱学,Early Childhood Edu.,0,0,Pre-B
2016,Dec,Dec 2016,友邻优课,Language Learning,0,0,A
2018,May,May 2018,校长家科技,Edu. SaaS,0,0,Pre-A
2018,Jun,Jun 2018,泰克网络实验室,Vocational Edu.,0,0,A
2018,Jan,Jan 2018,对啊网,Vocational Edu.,0,0,B
2018,Mar,Mar 2018,智童时光,Early Childhood Edu.,0,0,A
2016,Oct,Oct 2016,博览网,Vocational Edu.,0,0,Pre-A
2015,Jul,Jul 2015,口袋自考,Higher Edu.,0,0,Seed/Angel
2017,Jan,Jan 2017,手韩,Language Learning,0,0,Seed/Angel
2017,Apr,Apr 2017,私塾家,K12,0,0,B
2018,May,May 2018,小善科技,Vocational Edu.,0,0,A+
2015,Mar,Mar 2015,爱赛达课,Language Learning,0,0,A
2014,Sep,Sep 2014,魔力学院,Language Learning,0,0,Seed/Angel
2017,May,May 2017,易乐学车,Vocational Edu.,0,0,Seed/Angel
2018,Feb,Feb 2018,敦善文化,Holistic Edu.,0,0,A
2017,Jun,Jun 2017,新脑力,Paid Knowledge,0,0,Undiscloused
2017,Apr,Apr 2017,三立教育,Study Abroad Services,0,0,A+
2014,Jul,Jul 2014,巨人教育,K12,0,0,Undiscloused
2015,Mar,Mar 2015,早道日语网校,Language Learning,0,0,Seed/Angel
2018,Apr,Apr 2018,创豆智能积木,STEAM,0,0,Seed/Angel
2018,Jan,Jan 2018,纳豆之家,Study Abroad Services,0,0,Seed/Angel
2018,Apr,Apr 2018,酷码教育,STEAM,0,0,Seed/Angel
2014,Mar,Mar 2014,展视互动,Edu. SaaS,0,0,B
2018,May,May 2018,码力玩加,STEAM,0,0,A
2015,Jul,Jul 2015,樱桃老师,Early Childhood Edu.,0,0,Seed/Angel
2017,Mar,Mar 2017,唐翰科技,Higher Edu.,0,0,Seed/Angel
2016,Oct,Oct 2016,心呼吸,Vocational Edu.,0,0,Seed/Angel
2017,Jun,Jun 2017,优读学院,K12,0,0,Undiscloused
2018,Jun,Jun 2018,第三学府,Holistic Edu.,0,0,Strategic Investment
2018,Jun,Jun 2018,贝壳亲子英语,Language Learning,0,0,Seed/Angel
2018,Jan,Jan 2018,荣校,Edu. SaaS,0,0,Seed/Angel
